group,home_team,away_team,date,tournament,home_elo,away_elo,elo_diff,home_injury_flag,away_injury_flag,p_home_win,p_draw,p_away_win
A,Mexico,South Africa,,FIFA World Cup 2026 - Group,1890,1600,290,0,0,0.708931026,0.157531246,0.133537728
A,Mexico,South Korea,,FIFA World Cup 2026 - Group,1890,1755,135,0,0,0.547044056,0.201465027,0.251490917
A,Mexico,Czechia,,FIFA World Cup 2026 - Group,1890,,,0,0,0.36,0.28,0.36
A,South Africa,South Korea,,FIFA World Cup 2026 - Group,1600,1755,-155,0,0,0.234343698,0.193712605,0.571943697
A,South Africa,Czechia,,FIFA World Cup 2026 - Group,1600,,,0,0,0.36,0.28,0.36
A,South Korea,Czechia,,FIFA World Cup 2026 - Group,1755,,,0,0,0.36,0.28,0.36
B,Canada,Switzerland,,FIFA World Cup 2026 - Group,1750,1850,-100,0,0,0.281812942,0.217044906,0.501142152
B,Canada,Qatar,,FIFA World Cup 2026 - Group,1750,1500,250,0,0,0.674265649,0.165840767,0.159893583
B,Canada,Bosnia and Herzegovina,,FIFA World Cup 2026 - Group,1750,,,0,0,0.36,0.28,0.36
B,Switzerland,Qatar,,FIFA World Cup 2026 - Group,1850,1500,350,0,0,0.751925317,0.147803831,0.100270853
B,Switzerland,Bosnia and Herzegovina,,FIFA World Cup 2026 - Group,1850,,,0,0,0.36,0.28,0.36
B,Qatar,Bosnia and Herzegovina,,FIFA World Cup 2026 - Group,1500,,,0,0,0.36,0.28,0.36
C,Brazil,Morocco,,FIFA World Cup 2026 - Group,2100,1820,280,0,0,0.700730391,0.159455514,0.139814094
C,Brazil,Scotland,,FIFA World Cup 2026 - Group,2100,1705,395,0,0,0.777751921,0.14220181,0.080046269
C,Brazil,Haiti,,FIFA World Cup 2026 - Group,2100,1400,700,0,0,0.859877396,0.124831581,0.015291023
C,Morocco,Scotland,,FIFA World Cup 2026 - Group,1820,1705,115,0,0,0.521147691,0.210032779,0.26881953
C,Morocco,Haiti,,FIFA World Cup 2026 - Group,1820,1400,420,0,0,0.789998299,0.139593029,0.070408673
C,Scotland,Haiti,,FIFA World Cup 2026 - Group,1705,1400,305,0,0,0.720662664,0.154819369,0.124517967
D,United States,Paraguay,,FIFA World Cup 2026 - Group,1880,1680,200,0,0,0.623858051,0.178860711,0.197281238
D,United States,Australia,,FIFA World Cup 2026 - Group,1880,1720,160,0,0,0.578001016,0.191892634,0.230106349
D,United States,Turkiye,,FIFA World Cup 2026 - Group,1880,,,0,0,0.36,0.28,0.36
D,Paraguay,Australia,,FIFA World Cup 2026 - Group,1680,1720,-40,0,0,0.33157495,0.25099692,0.41742813
D,Paraguay,Turkiye,,FIFA World Cup 2026 - Group,1680,,,0,0,0.36,0.28,0.36
D,Australia,Turkiye,,FIFA World Cup 2026 - Group,1720,,,0,0,0.36,0.28,0.36
E,Germany,Ivory Coast,,FIFA World Cup 2026 - Group,2040,1760,280,0,0,0.700730391,0.159455514,0.139814094
E,Germany,Ecuador,,FIFA World Cup 2026 - Group,2040,1780,260,0,0,0.683400581,0.163605087,0.152994333
E,Germany,Curacao,,FIFA World Cup 2026 - Group,2040,1550,490,0,0,0.817497778,0.133806974,0.048695248
E,Ivory Coast,Ecuador,,FIFA World Cup 2026 - Group,1760,1780,-20,0,0,0.346474844,0.264773987,0.388751169
E,Ivory Coast,Curacao,,FIFA World Cup 2026 - Group,1760,1550,210,0,0,0.634567332,0.17599004,0.189442628
E,Ecuador,Curacao,,FIFA World Cup 2026 - Group,1780,1550,230,0,0,0.655047885,0.170661883,0.174290232
F,Netherlands,Japan,,FIFA World Cup 2026 - Group,1970,1860,110,0,0,0.514531344,0.21231197,0.273156687
F,Netherlands,Tunisia,,FIFA World Cup 2026 - Group,1970,1670,300,0,0,0.716827259,0.155700826,0.127471916
F,Netherlands,Sweden,,FIFA World Cup 2026 - Group,1970,,,0,0,0.36,0.28,0.36
F,Japan,Tunisia,,FIFA World Cup 2026 - Group,1860,1670,190,0,0,0.612840911,0.181878564,0.205280525
F,Japan,Sweden,,FIFA World Cup 2026 - Group,1860,,,0,0,0.36,0.28,0.36
F,Tunisia,Sweden,,FIFA World Cup 2026 - Group,1670,,,0,0,0.36,0.28,0.36
G,Belgium,Egypt,,FIFA World Cup 2026 - Group,1885,1700,185,0,0,0.607218467,0.183445027,0.209336506
G,Belgium,Iran,,FIFA World Cup 2026 - Group,1885,1650,235,0,0,0.659970969,0.169411037,0.170617994
